Color,Description,MinPrice,StyleNumber,ReviewNumber,MaxPrice,Name,Bullets,ImageUrl,Gender,Clothing,Brand,Size,Sport,AverageRating,Url
Dove,,168.00,500937,3,168.00,Wool Cashmere V-Neck Tunic,"Wool/Cashmere ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Wool-cashmere blend is luxuriously soft and cozy on the skinFAVE: Tunic length for cozy coverageRib detailing adds a stylish dimension #500937",https://athleta.gap.com/webcontent/0017/713/892/cn17713892.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=500937002&cid=1023334&pcid=1006482&vid=1&grid=pds_99_198_1
Black,,24.97 - 54.00,374207) if neededFully removable cupsSTYLE NOTE: Unique design means print placement varies for each style ,40,24.97 - 54.00,Breathe In Printed Bra,"Recycled Polyester/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Super-strappy design for more mobilityPocket that can hold our Empower Pad mastectomy bra insert (#374207) if neededFully removable cupsSTYLE NOTE: Unique design means print placement varies for each style #406805",https://athleta.gap.com/webcontent/0017/430/418/cn17430418.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=406805012&cid=1051661&pcid=1006482&vid=1&grid=pds_161_198_1
Hibiscus Red,,98.00,487745,10,98.00,Rainier Tight in Plush SuperSonic,"Recycled Nylon/Lycra ,SUSTAINABLE: Made with Recycled Nylon, a high-performance material that helps lessen our impact on the world ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts in cold climatesFEEL: Plush SuperSonic has a soft, brushed interiorFAVE: Zip pockets secure your essentialsBack drop-in pocket stashes your smartphoneReflective details for early morning or after-dusk workouts #487745",https://athleta.gap.com/webcontent/0017/889/759/cn17889759.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.4,https://athleta.gap.com/browse/product.do?pid=487745032&cid=1023333&pcid=1006482&vid=1&grid=pds_50_198_1
Black,,74.00,486286,14,74.00,Foresthill Merino Wool Ascent Top,"Wool/Nylon ,EASY CARE. Just throw in the wash and dry without a second thought ,BREATHABLE. Targeted ventilation keeps the air moving ,Machine wash and lay flat to dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offHEEL: Chafe-free seamless merino wool blend stretches with youFAVE: Targeted open-hole mesh provides cooling airflowRuching on side for a feminine detail #486286",https://athleta.gap.com/webcontent/0017/713/462/cn17713462.jpg,women,,athleta,"XS,S,M,L,XL",,4.5,https://athleta.gap.com/browse/product.do?pid=486286012&cid=1023334&pcid=1006482&vid=1&grid=pds_75_198_1
Billard Teal,,64.00,150992,878,64.00,Speedlight Top,"Nylon/Spandex ,UNSTINKABLE. Odor-controlling yarns. ,SEAMLESS. Beyond-soft, chafe-free fabric stretches with your every move ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,IT FEELS: Lightweight, unbelievably comfortable ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high-impact workoutsFEEL: Chafe-free seamless fabric stretches with every moveFAVE: Hem-grippers give you a stay-put fitThumbholes keep your sleeves in place #150992",https://athleta.gap.com/webcontent/0017/713/561/cn17713561.jpg,women,,athleta,"XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=150992282&cid=1023334&pcid=1006482&vid=1&grid=pds_69_198_1
Dark Vista Teal,,128.00,350973,123,128.00,Initiative Dress,"Recycled Polyester/Spandex ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WRINKLE-RESISTANT. Packable fabric stays sleek & smooth ,RATED UPF 50+ (Excellent Protection) ,SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ,Machine wash and lay flat to dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Recycled Featherweight Stretch™ fabric feels sleek and light as airFAVE: Rib and mesh details at neckline provide comfort and airflowRibbed details along neckline for added comfortMesh details for extra ventilation #350973",https://athleta.gap.com/webcontent/0017/431/042/cn17431042.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=350973052&cid=1023336&pcid=1006482&vid=1&grid=pds_173_198_1
Arbor Olive,,24.97 - 49.00,374207) if neededFOR A-C CUPS-Check out our A-C Hyper Focused Bra (354047)FAIR TRADE: Made in a Fair Trade Certified™ Factory ,612,24.97 - 49.00,D-DD Hyper Focused Bra In Powervita™,"Nylon/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK DRYING. For extra comfort factor ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita fabric is buttery soft with compression that feels like a gentle hugFAVE: Strappy back design for full range of motionUPDATED DESIGN-We increased the coverage at center front and underarm to provide more cup capacity for larger chests, for more coverageEasy pocket for use of our Empower Pad Mastectomy Bra Insert (#374207) if neededFOR A-C CUPS-Check out our A-C Hyper Focused Bra (354047)FAIR TRADE: Made in a Fair Trade Certified™ Factory #417221",https://athleta.gap.com/webcontent/0017/778/832/cn17778832.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=417221082&cid=1051661&pcid=1006482&vid=1&grid=pds_158_198_1
Antique Burgundy,,59.00,531260,8,59.00,Essence Twist Top,"Recycled Polyester/Lyocell/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ,UNSTINKABLE. Odor-controlling yarns ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Soft and lightweight recycled fabricFAVE: Front twist detail adds fashion to your practice. #531260",https://athleta.gap.com/webcontent/0017/667/612/cn17667612.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.3,https://athleta.gap.com/browse/product.do?pid=531260042&cid=1023334&pcid=1006482&vid=1&grid=pds_78_198_1
Black,,148.00,500917,12,148.00,Evolution Blazer,"Nylon/Spandex ,WATER-RESISTANT.Sleek fabric fends off rainy day conditions.   a ,WIND-RESISTANT. Stops wind from passing through the fabric, blocking chill ,Primaloft® Gold insulation provides near weightless warmth ,Machine wash and dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Smooth-to-the-touch with slight puffiness on the outside, down-like warmth on the inside.FAVE: Lightweight and versatile with easy-access pockets to stash your essentialsSnap button closureStretch woven fabric for added mobility #500917",https://athleta.gap.com/webcontent/0017/806/336/cn17806336.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.3,https://athleta.gap.com/browse/product.do?pid=500917002&cid=1063661&pcid=1006482&vid=1&grid=pds_142_198_1
Azalea Pink,,59.00,531260,8,59.00,Essence Twist Top,"Recycled Polyester/Lyocell/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ,UNSTINKABLE. Odor-controlling yarns ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Soft and lightweight recycled fabricFAVE: Front twist detail adds fashion to your practice. #531260",https://athleta.gap.com/webcontent/0017/806/258/cn17806258.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.3,https://athleta.gap.com/browse/product.do?pid=531260062&cid=1023334&pcid=1006482&vid=1&grid=pds_81_198_1
Black,,148.00,486255,1,148.00,Tenacity Duster,"Organic Cotton/Polyester ,SUSTAINABLE: Organic cotton is grown without harmful pesticides, so it benefits the whole ecosystem ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from the ring and studio workoutsFEEL: Soft, comfortable fabricFAVE: Easy-access pockets with hidden phone pocket inside #486255",https://athleta.gap.com/webcontent/0017/677/953/cn17677953.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=486255002&cid=1063661&pcid=1006482&vid=1&grid=pds_147_198_1
Antique Burgundy/ Black,,98.00,500936,8,98.00,Transit Colorblock Turtleneck,"Merino Wool/Nylon/Elastane ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Luxuriously soft boucl� yarn feels cozy on the skinFAVE: Side slits provide extra mobility #500936",https://athleta.gap.com/webcontent/0017/824/426/cn17824426.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=500936012&cid=1023334&pcid=1006482&vid=1&grid=pds_104_198_1
Black,,98.00,472420,23,98.00,Elation Ultra High Rise Shimmer Tight In Powervita™,"Polyester/Lycra ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Unpinchable three-layer waistband with mesh inner lining streamlines and supportsFewer seams reduce distractions and create a cleaner, sleeker lineShimmering finish flatters your formBreathable CoolMax® crotch gusset #472420",https://athleta.gap.com/webcontent/0017/519/836/cn17519836.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.3,https://athleta.gap.com/browse/product.do?pid=472420002&cid=1144189&pcid=1006482&vid=1&grid=pds_9_198_1
